label,entity,adjective,is_negated,sentiment,competence,morality,dehuman_flag,negated_dehuman_flag,dehuman_category
INTL_ACTORS,un,ordinary,False,0.0,-0.0426,0.8944,0,0,
INTL_ACTORS,un,swift,False,0.0,0.4455,-0.107,0,0,
INTL_ACTORS,un,accurate,False,0.0,1.1914,0.5091,0,0,
INTL_ACTORS,un,ruthless,False,0.0,-0.672,-2.8917,0,0,
UKR_POLITICAL,zelensky,ordinary,False,0.0,-0.0426,0.8944,0,0,
UKR_POLITICAL,ukraine,more,False,-0.581,0.8631,0.4455,0,0,
INTL_ACTORS,un,not_fun,True,0.9302,-0.8874,-0.9225,0,0,
WEST_ACTORS,usa,rear,False,0.0,0.7991,0.3926,0,0,
INTL_ACTORS,un,unlikely,False,0.0,-0.8203,-0.2337,0,0,
INTL_ACTORS,un,huge,False,-0.603,0.5508,-0.174,0,0,
RU_POLITICAL,russia,frozen,False,-0.7463,-0.581,0.1731,0,0,
